# Number of wavelengths (nwvl):
  35
# Number of radius (nsize):
   50
# Wavelength axis (wvl):
 0.740000E-06 0.730000E-06 0.720000E-06 0.710000E-06 0.700000E-06
 0.690000E-06 0.680000E-06 0.670000E-06 0.660000E-06 0.650000E-06
 0.640000E-06 0.630000E-06 0.620000E-06 0.610000E-06 0.600000E-06
 0.590000E-06 0.580000E-06 0.570000E-06 0.560000E-06 0.550000E-06
 0.540000E-06 0.530000E-06 0.520000E-06 0.510000E-06 0.500000E-06
 0.490000E-06 0.480000E-06 0.470000E-06 0.460000E-06 0.450000E-06
 0.440000E-06 0.430000E-06 0.420000E-06 0.410000E-06 0.400000E-06
# Particle size axis (radius):
 0.100000E-05 0.110444E-05 0.121979E-05 0.134718E-05 0.148788E-05
 0.164327E-05 0.181489E-05 0.200443E-05 0.221378E-05 0.244498E-05
 0.270033E-05 0.298235E-05 0.329382E-05 0.363783E-05 0.401776E-05
 0.443737E-05 0.490080E-05 0.541264E-05 0.597793E-05 0.660225E-05
 0.729179E-05 0.805333E-05 0.889442E-05 0.982334E-05 0.108493E-04
 0.119824E-04 0.132338E-04 0.146159E-04 0.161424E-04 0.178283E-04
 0.196902E-04 0.217467E-04 0.240179E-04 0.265263E-04 0.292966E-04
 0.323563E-04 0.357356E-04 0.394678E-04 0.435898E-04 0.481422E-04
 0.531702E-04 0.587232E-04 0.648562E-04 0.716297E-04 0.791106E-04
 0.873728E-04 0.964980E-04 0.106576E-03 0.117707E-03 0.130000E-03
# Extinction coef. Qext (ep):
# Radius number     1
 0.285627E+01 0.307016E+01 0.278589E+01 0.271607E+01 0.270138E+01
 0.262995E+01 0.272707E+01 0.262917E+01 0.243539E+01 0.237875E+01
 0.233374E+01 0.249126E+01 0.221801E+01 0.236420E+01 0.207444E+01
 0.219575E+01 0.207179E+01 0.201089E+01 0.205752E+01 0.223235E+01
 0.216625E+01 0.215144E+01 0.258131E+01 0.240993E+01 0.237147E+01
 0.255153E+01 0.253133E+01 0.255250E+01 0.258267E+01 0.245811E+01
 0.245461E+01 0.232299E+01 0.225370E+01 0.214158E+01 0.208975E+01
# Radius number     2
 0.271250E+01 0.284185E+01 0.264564E+01 0.259275E+01 0.257487E+01
 0.252271E+01 0.258110E+01 0.251021E+01 0.238096E+01 0.234217E+01
 0.231368E+01 0.241783E+01 0.223936E+01 0.233909E+01 0.215467E+01
 0.223942E+01 0.216184E+01 0.212736E+01 0.216413E+01 0.228129E+01
 0.224098E+01 0.223314E+01 0.251409E+01 0.239885E+01 0.237047E+01
 0.248229E+01 0.246217E+01 0.246945E+01 0.248118E+01 0.239328E+01
 0.238645E+01 0.229708E+01 0.225146E+01 0.217965E+01 0.214913E+01
# Radius number     3
 0.255555E+01 0.261692E+01 0.250494E+01 0.247210E+01 0.245761E+01
 0.242711E+01 0.245614E+01 0.241515E+01 0.234599E+01 0.232573E+01
 0.231257E+01 0.237044E+01 0.227618E+01 0.233275E+01 0.223774E+01
 0.228641E+01 0.224672E+01 0.223037E+01 0.225246E+01 0.231485E+01
 0.229318E+01 0.228743E+01 0.243491E+01 0.236886E+01 0.234949E+01
 0.240345E+01 0.238698E+01 0.238544E+01 0.238602E+01 0.233457E+01
 0.232811E+01 0.227820E+01 0.225352E+01 0.221574E+01 0.220075E+01
